epoch,train_c_loss,train_c_accuracy,val_c_loss,val_c_accuracy,test_c_loss,test_c_accuracy
0,4.54876595376,0.132200677711,5.99514745844,0.0276131465517,-1,-1
1,3.53118811027,0.262071724398,3.15200073144,0.254983836207,-1,-1
2,3.04243215667,0.344832454819,3.42956062843,0.282596982759,-1,-1
3,2.64763765558,0.39749623494,2.63006906674,0.373653017241,-1,-1
4,2.36684320741,0.447265625,2.34148124991,0.440463362069,-1,-1
5,2.15335444119,0.483810240964,2.11583380247,0.470635775862,-1,-1
6,1.93298455103,0.521484375,2.24687618223,0.456896551724,-1,-1
7,1.77098826795,0.547604480422,2.07759712071,0.48599137931,-1,-1
8,1.59785914242,0.572595067771,1.95175454329,0.502693965517,-1,-1
9,1.45321385904,0.604009789157,1.89199884801,0.509159482759,-1,-1
10,1.34380470378,0.630694653614,1.82921088564,0.530845905172,-1,-1
11,1.26095029389,0.648790474398,1.94480287207,0.527209051724,-1,-1
12,1.14097587369,0.675475338855,1.81193187319,0.54296875,-1,-1
13,1.08826135961,0.691618034639,1.82740625431,0.548087284483,-1,-1
14,1.03281323684,0.705289909639,1.88262370948,0.540813577586,-1,-1
15,0.984059034521,0.717644013554,1.8639698563,0.540544181034,-1,-1
16,0.916609426399,0.731292356928,1.76309287754,0.561691810345,-1,-1
17,0.87563113581,0.739810805723,2.01131159889,0.524649784483,-1,-1
18,0.841892492699,0.752776731928,1.86893502803,0.549568965517,-1,-1
19,0.795080458364,0.763883659639,1.86500709838,0.563577586207,-1,-1
20,0.758698269186,0.771978539157,1.87956725934,0.559267241379,-1,-1
21,0.728653126093,0.782238328313,1.85422510936,0.566136853448,-1,-1
22,0.704002168254,0.789344879518,1.94604324472,0.539197198276,-1,-1
23,0.664757636118,0.798710466867,1.9357354456,0.569234913793,-1,-1
24,0.638301518847,0.805817018072,1.89463439481,0.560344827586,-1,-1
25,0.614589054721,0.810264495482,1.97700212947,0.554552801724,-1,-1
26,0.597812624222,0.815323795181,2.03257384588,0.558997844828,-1,-1
27,0.579082894846,0.820453689759,1.95172653322,0.576104525862,-1,-1
28,0.568323875048,0.824830572289,1.87568582954,0.576912715517,-1,-1
29,0.534710654203,0.834266754518,2.09067025883,0.55078125,-1,-1
30,0.515283887555,0.840996799699,1.95590081708,0.570581896552,-1,-1
31,0.49697612437,0.842691076807,1.95277808247,0.567618534483,-1,-1
32,0.486186770969,0.847350338855,1.96011674199,0.577316810345,-1,-1
33,0.466441597969,0.851962537651,2.06555750658,0.565059267241,-1,-1
34,0.46687105711,0.853680346386,2.04404314428,0.563577586207,-1,-1
35,0.450736418456,0.85796310241,2.10302440668,0.569639008621,-1,-1
36,0.425130994429,0.864246046687,2.06553137713,0.567079741379,-1,-1
37,0.429475326315,0.863304781627,2.04141090451,0.56869612069,-1,-1
38,0.415489628821,0.867163968373,2.06280064377,0.57650862069,-1,-1
39,0.414666026651,0.869658320783,2.09496883277,0.583243534483,-1,-1
40,0.392240596015,0.874976468373,2.05192488637,0.578125,-1,-1
41,0.393131268087,0.875047063253,2.15124227261,0.572871767241,-1,-1
42,0.369186566582,0.882765436747,2.18953728881,0.552262931034,-1,-1
43,0.374366906348,0.881282944277,2.08763109199,0.578394396552,-1,-1
44,0.363714491791,0.883589043675,2.20153417053,0.572467672414,-1,-1
45,0.350486096309,0.887612951807,2.20826245999,0.567753232759,-1,-1
