epoch,train_c_loss,train_c_accuracy,val_c_loss,val_c_accuracy,test_c_loss,test_c_accuracy
0,4.64385011756,0.0479339231928,5.62527501172,0.0257273706897,-1,-1
1,4.01085994976,0.0951854292169,5.44218570611,0.0505118534483,-1,-1
2,3.72327847079,0.13288309488,3.99271726197,0.107623922414,-1,-1
3,3.50730261099,0.165380271084,3.77493440283,0.148572198276,-1,-1
4,3.29435134437,0.199124623494,4.14131101658,0.140220905172,-1,-1
5,3.12702316261,0.226374246988,3.56105689345,0.210802801724,-1,-1
6,2.96889651324,0.257130082831,4.01538997683,0.169181034483,-1,-1
7,2.82665938354,0.281273531627,3.38427807956,0.214574353448,-1,-1
8,2.71753072523,0.302146084337,3.59235112009,0.194773706897,-1,-1
9,2.6202483845,0.320547816265,3.29589264557,0.233297413793,-1,-1
10,2.50770796997,0.343773531627,3.50928607891,0.24838362069,-1,-1
11,2.42003018885,0.360480986446,3.11940299642,0.266567887931,-1,-1
12,2.32200773366,0.384412650602,3.04354298526,0.303205818966,-1,-1
13,2.22671553888,0.407779555723,3.34524752354,0.262526939655,-1,-1
14,2.17623267404,0.415968561747,2.97935619436,0.293238146552,-1,-1
15,2.10090629128,0.432605421687,2.76545862494,0.315867456897,-1,-1
16,2.04615248075,0.443688817771,2.85934745032,0.33203125,-1,-1
17,1.96571513831,0.462725903614,3.23501325476,0.285560344828,-1,-1
18,1.89709417289,0.478515625,2.84059045644,0.331761853448,-1,-1
19,1.84459657913,0.492305158133,3.18655302196,0.296201508621,-1,-1
20,1.78761845037,0.504494540663,2.75251946367,0.35708512931,-1,-1
21,1.73859906484,0.516613328313,2.7274981696,0.363011853448,-1,-1
22,1.70604036228,0.523319841867,2.80817676002,0.336745689655,-1,-1
23,1.64558943532,0.538968373494,2.96168022731,0.339035560345,-1,-1
24,1.59749776053,0.548710466867,2.49721723178,0.3984375,-1,-1
25,1.5462387793,0.562052899096,2.70294256868,0.367995689655,-1,-1
26,1.51304774543,0.569041792169,2.70139178736,0.379849137931,-1,-1
27,1.46393160755,0.583890248494,2.58724718669,0.402882543103,-1,-1
28,1.4329539164,0.59031438253,2.57931144073,0.393049568966,-1,-1
29,1.39577401762,0.601068335843,2.45163095408,0.413793103448,-1,-1
30,1.34379255341,0.614622552711,2.60043309475,0.40072737069,-1,-1
31,1.32213487683,0.615469691265,2.6043621836,0.410425646552,-1,-1
32,1.28769465132,0.624764683735,2.5434611563,0.408674568966,-1,-1
33,1.23635214459,0.641448606928,2.68711904,0.410964439655,-1,-1
34,1.21725886091,0.645378388554,2.52249991483,0.417429956897,-1,-1
35,1.19096273669,0.649990587349,2.73151309326,0.393588362069,-1,-1
36,1.15204127636,0.658297251506,2.58747681667,0.410290948276,-1,-1
37,1.13323206841,0.665756777108,3.03641103465,0.369881465517,-1,-1
38,1.10512770676,0.672980986446,2.8367447812,0.389682112069,-1,-1
39,1.09285857825,0.676675451807,2.69693622918,0.416621767241,-1,-1
40,1.05951717227,0.686511671687,2.63325440062,0.422144396552,-1,-1
41,1.02762787906,0.691641566265,2.80108223701,0.410021551724,-1,-1
42,0.997689939587,0.699712914157,2.70574309497,0.421605603448,-1,-1
43,0.996067922338,0.700324736446,3.02033943966,0.388604525862,-1,-1
44,0.965043647821,0.709713855422,2.75519387064,0.420797413793,-1,-1
45,0.952170460519,0.712890625,2.9429741769,0.399649784483,-1,-1
46,0.929078696183,0.718514683735,2.74909365999,0.431438577586,-1,-1
47,0.923188889601,0.720561935241,2.86224950182,0.422817887931,-1,-1
48,0.901990948312,0.728280308735,2.76630768283,0.425915948276,-1,-1
49,0.874044028571,0.73686935241,3.01105706034,0.402478448276,-1,-1
50,0.855719334031,0.743222891566,2.81014564942,0.412311422414,-1,-1
51,0.858446823904,0.739151920181,3.04558765888,0.395474137931,-1,-1
52,0.836472810571,0.747670368976,2.80720539956,0.43197737069,-1,-1
53,0.806538658239,0.755106362952,2.72523149129,0.451778017241,-1,-1
54,0.796611107617,0.756894766566,2.85029110004,0.425646551724,-1,-1
55,0.796882014138,0.759365587349,3.1761114104,0.386045258621,-1,-1
56,0.778627483421,0.760848079819,2.98474473378,0.413523706897,-1,-1
57,0.777495208544,0.763365963855,2.72421969216,0.447332974138,-1,-1
58,0.75040105075,0.772307981928,2.90551809196,0.434267241379,-1,-1
59,0.730355312487,0.776308358434,2.82829909078,0.436691810345,-1,-1
60,0.730709987951,0.777084902108,2.68012380189,0.441540948276,-1,-1
61,0.721803569471,0.778120293675,2.93990546259,0.427667025862,-1,-1
62,0.712848749865,0.780026355422,2.78262681797,0.441810344828,-1,-1
63,0.69948288547,0.786944653614,2.92515933514,0.431573275862,-1,-1
64,0.705787117761,0.784238516566,3.16017662657,0.412715517241,-1,-1
65,0.671417428248,0.793604103916,3.12532827361,0.417834051724,-1,-1
66,0.672097949648,0.793580572289,3.0147979465,0.418238146552,-1,-1
67,0.658491569919,0.796827936747,2.92760750754,0.444908405172,-1,-1
68,0.651959239359,0.799275225904,3.09583041175,0.421066810345,-1,-1
69,0.647901209004,0.802451995482,3.0310039808,0.424838362069,-1,-1
70,0.627426575645,0.805558170181,3.04372373532,0.419854525862,-1,-1
71,0.628156119531,0.807205384036,3.20768176687,0.409886853448,-1,-1
72,0.611427090075,0.811394013554,2.9180397864,0.446120689655,-1,-1
73,0.603335984769,0.816053275602,3.07817432798,0.432516163793,-1,-1
74,0.600205318755,0.814500188253,3.01260225526,0.44140625,-1,-1
75,0.588993952576,0.818759412651,3.02733105627,0.438173491379,-1,-1
