epoch,train_c_loss,train_c_accuracy,val_c_loss,val_c_accuracy,test_c_loss,test_c_accuracy
0,5.02073830294,0.0159309111446,4.61208266225,0.0142780172414,-1,-1
1,4.80875157017,0.0237669427711,4.55687474382,0.0259967672414,-1,-1
2,4.73024166492,0.0334619728916,4.51515530718,0.0330010775862,-1,-1
3,4.63006993231,0.0396507906627,4.39565536072,0.0464709051724,-1,-1
4,4.52720916558,0.0447100903614,4.32257742717,0.0557650862069,-1,-1
5,4.43771942265,0.0490869728916,4.19861809961,0.0647898706897,-1,-1
6,4.35046175876,0.0571818524096,4.1760053388,0.0649245689655,-1,-1
7,4.26439401256,0.0630647590361,4.05560088569,0.0727370689655,-1,-1
8,4.21160760199,0.0725009412651,3.98043085378,0.0859375,-1,-1
9,4.14549259321,0.0772543298193,3.97069200154,0.0910560344828,-1,-1
10,4.07964670155,0.0830431099398,3.96758198738,0.0887661637931,-1,-1
11,4.02276739155,0.0927616716867,3.90731414022,0.101158405172,-1,-1
12,3.94246858358,0.0986681099398,3.81966474961,0.120554956897,-1,-1
13,3.90237882338,0.110692771084,3.69215390189,0.139278017241,-1,-1
14,3.85612035947,0.115069653614,3.91380041221,0.106142241379,-1,-1
15,3.80431115125,0.121070218373,3.77458219282,0.121632543103,-1,-1
16,3.72985349147,0.130247552711,3.84205127996,0.118938577586,-1,-1
17,3.68480179252,0.137942394578,3.95888201122,0.106681034483,-1,-1
18,3.63712876245,0.145496046687,3.69830670439,0.149515086207,-1,-1
19,3.58712577245,0.154414533133,3.80330246892,0.145070043103,-1,-1
20,3.55656709872,0.158862010542,3.8458737916,0.128367456897,-1,-1
21,3.49001225362,0.171898531627,3.78481155839,0.139143318966,-1,-1
22,3.46074571882,0.173545745482,3.70820463115,0.150457974138,-1,-1
23,3.41203473275,0.181875941265,3.51418279368,0.188577586207,-1,-1
24,3.38010308613,0.187099962349,3.51369978642,0.177667025862,-1,-1
25,3.33431992832,0.197548004518,3.53993851974,0.179552801724,-1,-1
26,3.31034430754,0.199971762048,3.63636957366,0.162984913793,-1,-1
27,3.27182988805,0.206160579819,3.36420983693,0.203663793103,-1,-1
28,3.23695326354,0.21343185241,3.35454843373,0.196120689655,-1,-1
29,3.20281076862,0.220091302711,3.46941260223,0.187365301724,-1,-1
30,3.16053461957,0.230727597892,3.4793415234,0.198141163793,-1,-1
31,3.13877122086,0.232657191265,3.4410608267,0.181438577586,-1,-1
32,3.10806094451,0.236186935241,3.40001507052,0.203663793103,-1,-1
33,3.06317405887,0.245929028614,3.46289462879,0.192483836207,-1,-1
34,3.03937111921,0.248329254518,3.2931943803,0.217941810345,-1,-1
35,3.02312686716,0.251082454819,3.47017746958,0.189655172414,-1,-1
36,2.99362444734,0.257530120482,3.27403457411,0.222790948276,-1,-1
37,2.9631623676,0.26421310241,3.34736099325,0.214574353448,-1,-1
38,2.96506890116,0.263154179217,3.10263129349,0.251346982759,-1,-1
39,2.92491680384,0.267931099398,3.30803683708,0.240032327586,-1,-1
40,2.89806060403,0.274355233434,3.60955984017,0.174434267241,-1,-1
41,2.86939656663,0.28125,3.06857109892,0.261584051724,-1,-1
42,2.84897004409,0.282708960843,3.34052903077,0.217672413793,-1,-1
43,2.82446408631,0.289909638554,3.16333787606,0.245285560345,-1,-1
44,2.8021791922,0.295416039157,3.0384775729,0.268184267241,-1,-1
45,2.77952027177,0.302428463855,3.16346203459,0.250134698276,-1,-1
