epoch,train_c_loss,train_c_accuracy,val_c_loss,val_c_accuracy,test_c_loss,test_c_accuracy
0,5.0082436958,0.0178134412651,4.6521085213,0.0102370689655,-1,-1
1,4.54463755654,0.035062123494,4.16201177959,0.0637122844828,-1,-1
2,4.21160599984,0.0583349021084,4.03149953793,0.0682920258621,-1,-1
3,4.00441130242,0.0792545180723,3.85357102443,0.0957704741379,-1,-1
4,3.86911627973,0.0988563629518,3.76393194445,0.100619612069,-1,-1
5,3.75082368736,0.120787838855,3.62972751568,0.125,-1,-1
6,3.64548135737,0.13874246988,3.53070004644,0.149110991379,-1,-1
7,3.55718520822,0.153779179217,3.52386597518,0.165005387931,-1,-1
8,3.50848325333,0.163733057229,3.64359361139,0.139278017241,-1,-1
9,3.44813862479,0.172933923193,3.46614964255,0.165274784483,-1,-1
10,3.39774532993,0.181028802711,3.53034151423,0.149380387931,-1,-1
11,3.34297877622,0.189735504518,3.32192550856,0.196659482759,-1,-1
12,3.28871158735,0.19975997741,3.38361343433,0.183728448276,-1,-1
13,3.24586381036,0.209219691265,3.47824016111,0.170528017241,-1,-1
14,3.2210560125,0.209172628012,3.39887899366,0.186826508621,-1,-1
15,3.17963430321,0.220679593373,3.87307128824,0.124191810345,-1,-1
16,3.13256163841,0.228868599398,3.34536187402,0.183324353448,-1,-1
17,3.10539656734,0.229598079819,3.39570512032,0.185075431034,-1,-1
18,3.07304791514,0.239481362952,3.47145851727,0.182650862069,-1,-1
19,3.03768699715,0.242940512048,3.52653528904,0.158270474138,-1,-1
20,3.01261832915,0.250282379518,3.39339167907,0.192214439655,-1,-1
21,2.98312039979,0.257788968373,3.21682504539,0.2109375,-1,-1
22,2.96640920567,0.258942018072,3.40288728681,0.181438577586,-1,-1
23,2.92206320274,0.264024849398,3.39852777843,0.194639008621,-1,-1
24,2.92972295112,0.264095444277,3.03410581063,0.249865301724,-1,-1
25,2.89840976804,0.26899002259,3.65974424214,0.165005387931,-1,-1
26,2.88791217,0.273155120482,3.12062449702,0.228717672414,-1,-1
27,2.86437594747,0.278190888554,3.62438263975,0.172413793103,-1,-1
28,2.84660895689,0.279391001506,3.41057723144,0.200161637931,-1,-1
29,2.82684590587,0.286003388554,3.3968425948,0.197332974138,-1,-1
30,2.80996005004,0.286450489458,3.53979761025,0.179283405172,-1,-1
31,2.79886103897,0.292639307229,3.21040851494,0.219288793103,-1,-1
32,2.80397687044,0.288380082831,3.62188901572,0.175511853448,-1,-1
33,2.76205523115,0.296875,3.55044221056,0.184267241379,-1,-1
34,2.75761624417,0.29788685994,3.69091198773,0.175242456897,-1,-1
35,2.74177887354,0.302099021084,3.33198213988,0.218480603448,-1,-1
36,2.73485129713,0.299534073795,3.39553955917,0.188712284483,-1,-1
37,2.72370604435,0.305652296687,3.55305720198,0.181842672414,-1,-1
38,2.72667442244,0.30179310994,3.59570670539,0.171605603448,-1,-1
39,2.70080236283,0.304569841867,3.35436659846,0.211341594828,-1,-1
40,2.70726336629,0.307746611446,3.23100926136,0.223329741379,-1,-1
41,2.67936037319,0.309464420181,3.53199834248,0.190598060345,-1,-1
42,2.67374910217,0.313182417169,3.21246517527,0.230064655172,-1,-1
43,2.66719693233,0.313700112952,3.32780391183,0.210398706897,-1,-1
44,2.65254533506,0.316029743976,3.37173540839,0.200161637931,-1,-1
45,2.65630695834,0.316594503012,3.41387278047,0.197198275862,-1,-1
46,2.62717026975,0.322100903614,3.35341512335,0.208243534483,-1,-1
47,2.62985807083,0.321206701807,3.37774889223,0.198275862069,-1,-1
48,2.62333255934,0.32374811747,3.45946694654,0.194234913793,-1,-1
49,2.60010778904,0.32913685994,3.567230722,0.194639008621,-1,-1
50,2.61297823722,0.324595256024,3.21311734463,0.221578663793,-1,-1
51,2.59523097291,0.326924887048,3.21534686253,0.229256465517,-1,-1
52,2.58654146956,0.328172063253,3.32271381082,0.210264008621,-1,-1
53,2.58691241224,0.332925451807,3.19453421132,0.2265625,-1,-1
54,2.56622671794,0.333960843373,3.422571433,0.188577586207,-1,-1
55,2.56944144059,0.33257247741,3.59456628767,0.185614224138,-1,-1
56,2.584668362,0.33061935241,3.15556012762,0.233297413793,-1,-1
57,2.55658391657,0.338031814759,3.26253761916,0.214439655172,-1,-1
58,2.54803884388,0.338102409639,3.35407945616,0.201239224138,-1,-1
59,2.54684874667,0.338620105422,3.23543879904,0.216729525862,-1,-1
60,2.52947035683,0.34172628012,3.29534887856,0.223329741379,-1,-1
61,2.54110434185,0.340361445783,3.37136758607,0.207704741379,-1,-1
62,2.5310637994,0.340549698795,3.4870762044,0.184806034483,-1,-1
63,2.52751606344,0.341702748494,3.19472279631,0.236799568966,-1,-1
64,2.50593158926,0.345185429217,3.22431672442,0.218884698276,-1,-1
65,2.49811462394,0.348738704819,3.32173081513,0.20083512931,-1,-1
66,2.48908149191,0.352150790663,3.66226955529,0.170797413793,-1,-1
67,2.50733129088,0.343067582831,3.17095916436,0.234509698276,-1,-1
68,2.48286002228,0.349938817771,3.47885406428,0.193292025862,-1,-1
69,2.4803842342,0.352433170181,3.16542037191,0.225350215517,-1,-1
70,2.49138852056,0.350456513554,3.1041815692,0.237473060345,-1,-1
71,2.46718823982,0.355562876506,3.4104729562,0.199892241379,-1,-1
72,2.45329139103,0.356151167169,3.43701939336,0.198141163793,-1,-1
73,2.48358603199,0.351233057229,3.157554795,0.236799568966,-1,-1
74,2.45983590706,0.354880459337,3.15400905034,0.232623922414,-1,-1
75,2.45239736373,0.358857304217,3.15998336364,0.238415948276,-1,-1
