epoch,train_c_loss,train_c_accuracy,val_c_loss,val_c_accuracy,test_c_loss,test_c_accuracy
0,5.37154339595,0.0598173945783,6.67814816278,0.0594019396552,-1,-1
1,4.79326973048,0.119423004518,5.11787535404,0.0505118534483,-1,-1
2,4.63952672553,0.144154743976,3.93956077099,0.16015625,-1,-1
3,4.17200753344,0.178346197289,3.66276926008,0.211745689655,-1,-1
4,3.88598197555,0.208137236446,4.27920100607,0.225754310345,-1,-1
5,3.65266703267,0.238045933735,3.68893892601,0.281923491379,-1,-1
6,3.40551875083,0.266848644578,3.56447916606,0.245689655172,-1,-1
7,3.25324495442,0.287227033133,3.03484184578,0.275996767241,-1,-1
8,3.11422764034,0.30569935994,3.3289226458,0.31640625,-1,-1
9,2.98247215475,0.318124058735,3.51664246362,0.291487068966,-1,-1
10,2.83445283806,0.339114269578,2.94228997313,0.296336206897,-1,-1
11,2.74555319763,0.356974774096,3.54549021556,0.34213362069,-1,-1
12,2.5936969296,0.376576618976,2.95776198239,0.298895474138,-1,-1
13,2.51462626385,0.394884224398,2.6038349538,0.359240301724,-1,-1
14,2.40131227367,0.412721197289,2.94881376316,0.328125,-1,-1
15,2.30923836131,0.423781061747,4.18512445072,0.317618534483,-1,-1
16,2.17431489962,0.445171310241,2.60317888753,0.381465517241,-1,-1
17,2.08786542516,0.46390248494,2.43644267526,0.392780172414,-1,-1
18,2.03942182696,0.475385918675,2.48910581243,0.386449353448,-1,-1
19,1.8810095568,0.501694277108,2.27336317301,0.443830818966,-1,-1
20,1.79157314638,0.521390248494,1.97089239441,0.490436422414,-1,-1
21,1.70460394384,0.536262236446,2.16889201978,0.450700431034,-1,-1
