epoch,train_c_loss,train_c_accuracy,val_c_loss,val_c_accuracy,test_c_loss,test_c_accuracy
0,5.54614413503,0.0293674698795,4.99808701976,0.00996767241379,-1,-1
1,4.89331443339,0.0523108057229,4.43852685238,0.0623653017241,-1,-1
2,4.65407710621,0.0728303840361,4.98304515049,0.0633081896552,-1,-1
3,4.47787033075,0.084078501506,4.85836976972,0.0713900862069,-1,-1
4,4.3718795087,0.0953501506024,6.62482090654,0.0509159482759,-1,-1
5,4.2486302235,0.110433923193,6.29423463756,0.0544181034483,-1,-1
6,4.14809173202,0.119187688253,6.12105427939,0.0620959051724,-1,-1
7,4.06358355427,0.131965361446,5.57928014624,0.0735452586207,-1,-1
8,4.02180820632,0.136671686747,5.66875426523,0.0688308189655,-1,-1
9,3.92106204794,0.149637612952,4.94914825209,0.101023706897,-1,-1
10,3.83502530405,0.157520707831,5.10374539474,0.101966594828,-1,-1
11,3.79994162019,0.166815700301,4.71876215113,0.108566810345,-1,-1
12,3.73545775859,0.174181099398,4.79387777427,0.113146551724,-1,-1
13,3.67734284645,0.186417545181,4.74385744128,0.135237068966,-1,-1
14,3.6168027355,0.190629706325,4.83052640948,0.134159482759,-1,-1
15,3.5999292918,0.197995105422,4.36233956649,0.137931034483,-1,-1
16,3.52935671304,0.20797251506,4.37001655842,0.143049568966,-1,-1
17,3.51145016429,0.214090737952,4.46333638142,0.146955818966,-1,-1
18,3.46346548666,0.220961972892,5.13794372,0.124461206897,-1,-1
19,3.4359702353,0.225715361446,4.37325325505,0.162715517241,-1,-1
20,3.3829713629,0.228303840361,4.11168411682,0.169181034483,-1,-1
21,3.34779427066,0.238963667169,4.54796829717,0.15072737069,-1,-1
22,3.32641568529,0.24211690512,3.87030910212,0.207165948276,-1,-1
23,3.2747606829,0.251223644578,3.64785457068,0.212419181034,-1,-1
24,3.26466365105,0.251600150602,3.80651037857,0.19760237069,-1,-1
25,3.24939500208,0.258165474398,4.22292130569,0.183189655172,-1,-1
26,3.20018750142,0.261977597892,3.67703161157,0.219558189655,-1,-1
27,3.17755540954,0.265295557229,3.81173098498,0.213900862069,-1,-1
28,3.15359145116,0.271390248494,3.30083061498,0.240167025862,-1,-1
29,3.13538769785,0.279602786145,3.37617514051,0.239224137931,-1,-1
30,3.0905287316,0.284450301205,3.60674369335,0.231276939655,-1,-1
31,3.07513670246,0.284026731928,3.69522162141,0.226427801724,-1,-1
32,3.04584750569,0.288638930723,3.60096737845,0.22427262931,-1,-1
33,3.00956886863,0.301016566265,3.53797653626,0.234509698276,-1,-1
34,2.99243027331,0.297533885542,3.1962709468,0.265625,-1,-1
35,2.97635767761,0.300922439759,3.52735252627,0.242322198276,-1,-1
36,2.94513346847,0.306052334337,3.3436411948,0.258620689655,-1,-1
37,2.95045467601,0.305111069277,3.12170743531,0.287715517241,-1,-1
38,2.9425304848,0.310335090361,3.04827537619,0.301320043103,-1,-1
39,2.91120501742,0.310946912651,3.18889350727,0.275862068966,-1,-1
40,2.89730980382,0.313064759036,3.11688419457,0.277882543103,-1,-1
41,2.85367999163,0.318053463855,3.5056168622,0.270339439655,-1,-1
42,2.86167445168,0.325324736446,3.30680441034,0.269665948276,-1,-1
43,2.83417558239,0.32367752259,3.10545072884,0.307112068966,-1,-1
44,2.80662535831,0.330454631024,3.04925230043,0.303879310345,-1,-1
45,2.81726269765,0.330642884036,2.89384416465,0.312230603448,-1,-1
46,2.7640025587,0.338878953313,3.20382762366,0.296066810345,-1,-1
47,2.77935423837,0.334125564759,3.0118827121,0.301185344828,-1,-1
48,2.76474060639,0.340102597892,2.82744115797,0.324353448276,-1,-1
49,2.73305025517,0.344950112952,3.12829497354,0.304283405172,-1,-1
50,2.72579665141,0.347632718373,2.87548989263,0.318965517241,-1,-1
